id,name,image_path,description,purchase_url
1,そらねなご,new-png-assets2/01_そらねなご.png,そらねなご,https://attendme.official.ec/items/120882100
2,天輪ちゃちゃ,new-png-assets2/02_天輪ちゃちゃ.png,天輪ちゃちゃ,https://attendme.official.ec/items/120882084
3,熊蜂えま,new-png-assets2/03_熊蜂えま.png,熊蜂えま,https://attendme.official.ec/items/120882067
4,ラビスベレイ,new-png-assets2/04_ラビスベレイ.png,ラビスベレイ,https://attendme.official.ec/items/120882052
5,氷月華フェリシア,new-png-assets2/05_氷月華フェリシア.png,氷月華フェリシア,https://attendme.official.ec/items/120882039
6,千愛ももこ,new-png-assets2/06_千愛ももこ.png,千愛ももこ,https://attendme.official.ec/items/120882025
7,桃みかち,new-png-assets2/07_桃みかち.png,桃みかち,https://attendme.official.ec/items/120882012
8,有栖川澪,new-png-assets2/08_有栖川澪.png,有栖川澪,https://attendme.official.ec/items/120881998
9,御祈れ〜汰,new-png-assets2/09_御祈れ〜汰.png,御祈れ〜汰,https://attendme.official.ec/items/120881984
10,祈乃ゆらら,new-png-assets2/10_祈乃ゆらら.png,祈乃ゆらら,https://attendme.official.ec/items/120881970
11,三珠りこ,new-png-assets2/11_三珠りこ.png,三珠りこ,https://attendme.official.ec/items/120881956
12,七狼さくや,new-png-assets2/12_七狼さくや.png,七狼さくや,https://attendme.official.ec/items/120881942
13,リラ・アレキサンドライト,new-png-assets2/13_リラ・アレキサンドライト.png,リラ・アレキサンドライト,https://attendme.official.ec/items/120881928
14,白神虎猫,new-png-assets2/14_白神虎猫.png,白神虎猫,https://attendme.official.ec/items/120881914
15,白くろあ,new-png-assets2/15_白くろあ.png,白くろあ,https://attendme.official.ec/items/120881900
16,空天まる。,new-png-assets2/16_空天まる。.png,空天まる。,https://attendme.official.ec/items/120881886
17,藤音カナデ,new-png-assets2/17_藤音カナデ.png,藤音カナデ,https://attendme.official.ec/items/120881872
18,眠瑠おみ,new-png-assets2/18_眠瑠おみ.png,眠瑠おみ,https://attendme.official.ec/items/120881858
19,日菜むい,new-png-assets2/19_日菜むい.png,日菜むい,https://attendme.official.ec/items/120881844
20,茜月ももね,new-png-assets2/20_茜月ももね.png,茜月ももね,https://attendme.official.ec/items/120881830
21,いぬん,new-png-assets2/21_いぬん.png,いぬん,https://attendme.official.ec/items/120881816
22,星乃あいら,new-png-assets2/22_星乃あいら.png,星乃あいら,https://attendme.official.ec/items/120881802
23,たちばなおもち,new-png-assets2/23_たちばなおもち.png,たちばなおもち,https://attendme.official.ec/items/120881788
24,子守うた,new-png-assets2/24_子守うた.png,子守うた,https://attendme.official.ec/items/120881774
25,花街まる,new-png-assets2/25_花街まる.png,花街まる,https://attendme.official.ec/items/120881774
